GERP3,meandaf
-0.897,0.273502202643172
1.17,0.133054928414097
1.16,0.160113916061849
1.12,0.098669601223561
-1.75,0.437469197261979
-0.666,0.190637755102041
1.61,0.178721835883171
2.6,0.0712382010419859
-0.647,0.439626436781609
0.671,0.157003623188406
-2.83,0.457028112449799
1.45,0.124300285306705
1.03,0.107068392981663
0.973,0.175838427947598
1.15,0.12020253164557
1.31,0.242086284289277
1.26,0.182025888958203
1.1,0.153029455909944
-0.477,0.399008928571429
1.35,0.229996572734196
0.559,0.162086294416244
-2.67,0.474159680638723
1.13,0.112671038861369
3.71,0.23176072234763
1.48,0.100873381877023
4.24,0.0617333333333333
1.68,0.193361829025845
4.07,0.125165562913907
4.48,0.0858862559241706
1.14,0.120342157347848
-1.58,0.390489836588282
0.345,0.311883408071749
-3.65,0.475136231884058
-1.24,0.447901403249631
1.46,0.204936086956522
-0.929,0.502462809917355
-1.25,0.433049356969065
1.3,0.108976758225174
1.32,0.26276231292517
-0.444,0.342565217391304
1.62,0.0825548224335339
-1.9,0.412751863684771
1.7,0.077266849073812
-0.618,0.479885856079404
1.49,0.376452506928697
0.526,0.550670462156731
0.303,0.450342151675485
-1.19,0.390661319073084
-1.21,0.426416184971098
-1.62,0.392446266968326
-1.1,0.361441497659906
-3.15,0.537418136020151
1.33,0.0832932944736139
0.567,0.122982658959538
-2,0.387265146970606
-0.429,0.183615241635688
0.621,0.111840720221607
0.576,0.154449342614076
-1.8,0.482487141444115
2.07,0.0808908854166667
1.56,0.1374336996337
0.965,0.261425675675676
0.978,0.172006024096386
0.497,0.206477053140097
1.9,0.200942708333333
-0.319,0.350832402234637
1.37,0.296946701846966
3.53,0.169255591054313
0.453,0.229255882352941
-4.66,0.456331818181818
-0.18,0.338699570815451
2.92,0.122359338061466
0.864,0.109843513670739
2.13,0.187518318965517
3.67,0.260708407871199
3.68,0.118597402597403
4.7,0.047247582205029
1.79,0.109356164383562
3.59,0.0729988626023658
2.58,0.0943656609195402
-0.93,0.477272463768116
0.523,0.514442857142857
